Job_Role,Pay,Location,State,Submit_Date,Hire_Date
MANAGER CORPORATE DEVELOPMENT,121784,SAN FRANCISCO CA,CA,9/28/2018,10/15/2018
MANAGER CUSTOMER SUCCESS STRATEGY,110510,SAN FRANCISCO CA,CA,3/14/2018,7/29/2018
MANAGER CUSTOMER SUCCESS STRATEGY,119246,SAN FRANCISCO CA,CA,2/1/2018,7/29/2018
MANAGER DEAL DESK,114650,SAN FRANCISCO CA,CA,4/6/2018,10/1/2018
MANAGER EMPLOYEE COMPENSATION,126547,SAN FRANCISCO CA,CA,2/2/2018,8/2/2018
MANAGER FINANCIAL SERVICES,110698,NEW YORK NY,NY,2/27/2018,8/24/2018
MANAGER GLOBAL SALES COMPENSATION ANALYTICS,117100,SAN FRANCISCO CA,CA,10/24/2018,10/30/2018
MANAGER GLOBAL SALES COMPENSATION ANALYTICS,115482,SAN FRANCISCO WA,WA,2/12/2018,8/9/2018
MANAGER PRICING ANALYTICS AND PRODUCT,147035,SAN FRANCISCO CA,CA,8/30/2018,9/10/2018
MANAGER SALES STRATEGY,110510,SAN FRANCISCO CA,CA,3/5/2018,8/20/2018
