Job_Role,Pay,Location,State,Submit_Date,Hire_Date
BUSINESS INTELLIGENCE ANALYST ,116209,MOUNTAIN VIEW CA,CA,6/11/2018,10/1/2018
BUSINESS INTELLIGENCE ANALYST ,98000,SUNNYVALE CA,CA,3/14/2018,9/10/2018
BUSINESS INTELLIGENCE ANALYST ,98000,MOUNTAIN VIEW CA,CA,3/14/2018,9/10/2018
BUSINESS INTELLIGENCE ANALYST ,142000,SUNNYVALE CA,CA,1/8/2018,3/30/2018
BUSINESS INTELLIGENCE ANALYST ,137000,SUNNYVALE CA,CA,8/23/2018,1/11/2019
BUSINESS INTELLIGENCE ANALYST ,86500,CHICAGO IL,IL,4/10/2018,4/17/2018
BUSINESS INTELLIGENCE ANALYST ,86500,CHICAGO IL,IL,5/22/2018,5/29/2018
BUSINESS INTELLIGENCE ANALYST ,108000,MOUNTAIN VIEW CA,CA,10/3/2018,10/9/2018
BUSINESS INTELLIGENCE DATA ANALYST ,114500,SUNNYVALE CA,CA,2/7/2018,7/22/2018
BUSINESS OPERATIONS AND STRATEGY ASSOCIATE ,126000,SUNNYVALE CA,CA,3/8/2018,8/30/2018
BUSINESS OPERATIONS ASSOCIATE ,146000,MOUNTAIN VIEW CA,CA,2/1/2018,7/24/2018
BUSINESS OPERATIONS ASSOCIATE ,122500,MOUNTAIN VIEW CA,CA,3/14/2018,9/13/2018
BUSINESS OPERATIONS ASSOCIATE ,122500,MOUNTAIN VIEW CA,CA,1/18/2018,7/9/2018
BUSINESS OPERATIONS ASSOCIATE ,125000,MOUNTAIN VIEW CA,CA,2/6/2018,8/4/2018
BUSINESS OPERATIONS ASSOCIATE ,125000,MOUNTAIN VIEW CA,CA,2/8/2018,8/6/2018
BUSINESS OPERATIONS ASSOCIATE ,135000,MOUNTAIN VIEW CA,CA,8/28/2018,9/4/2018
BUSINESS OPERATIONS ASSOCIATE ,165000,MOUNTAIN VIEW CA,CA,4/4/2018,8/13/2018
BUSINESS OPERATIONS ASSOCIATE ,142000,MOUNTAIN VIEW CA,CA,11/16/2018,12/13/2018
BUSINESS OPERATIONS PROGRAM MANAGER ,129000,SUNNYVALE CA,CA,6/12/2018,6/18/2018
BUSINESS SYSTEMS ANALYST,157000,SUNNYVALE CA,CA,8/9/2018,11/23/2018
BUSINESS SYSTEMS ANALYST  ,150000,SUNNYVALE CA,CA,7/17/2018,7/18/2018
BUSINESS SYSTEMS ANALYST  ,150000,SUNNYVALE CA,CA,7/11/2018,7/18/2018
BUSINESS SYSTEMS ANALYST ,151000,SUNNYVALE CA,CA,4/9/2018,9/28/2018
BUSINESS SYSTEMS ANALYST ,155414,SUNNYVALE CA,CA,11/7/2018,5/3/2019
BUSINESS SYSTEMS ANALYST ,137800,SUNNYVALE CA,CA,4/30/2018,8/24/2018
BUSINESS SYSTEMS ANALYST ,129000,SUNNYVALE CA,CA,5/2/2018,10/1/2018
BUSINESS SYSTEMS ANALYST ,115000,MOUNTAIN VIEW CA,CA,2/6/2018,2/13/2018
BUSINESS SYSTEMS ANALYST ,151000,SUNNYVALE CA,CA,1/9/2018,1/16/2018
BUSINESS SYSTEMS ANALYST ,115000,SUNNYVALE CA,CA,3/10/2018,3/14/2018
BUSINESS SYSTEMS ANALYST ,135000,SUNNYVALE CA,CA,5/25/2018,6/4/2018
BUSINESS SYSTEMS ANALYST ,137000,SUNNYVALE CA,CA,8/9/2018,8/16/2018
BUSINESS SYSTEMS ANALYST ,134000,SUNNYVALE CA,CA,8/15/2018,8/17/2018
BUSINESS SYSTEMS ANALYST ,140000,SUNNYVALE CA,CA,9/21/2018,10/1/2018
BUSINESS SYSTEMS ANALYST ,156000,SUNNYVALE CA,CA,10/17/2018,10/22/2018
BUSINESS SYSTEMS ANALYST ,134000,SUNNYVALE CA,CA,10/17/2018,10/24/2018
BUSINESS SYSTEMS ANALYST ,140000,SUNNYVALE CA,CA,11/7/2018,11/14/2018
BUSINESS SYSTEMS ANALYST ,157000,SUNNYVALE CA,CA,8/31/2018,11/23/2018
BUSINESS SYSTEMS INTEGRATION ANALYST ,165000,SUNNYVALE CA,CA,5/3/2018,8/12/2018
BUSINESS SYSTEMS INTEGRATION ANALYST ,165000,SUNNYVALE CA,CA,6/21/2018,8/12/2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,5/8/2018,8/24/2018
BUSINESS SYSTEMS INTEGRATOR ,125000,SUNNYVALE CA,CA,3/7/2018,4/27/2018
BUSINESS SYSTEMS INTEGRATOR ,153000,SUNNYVALE CA,CA,6/4/2018,9/22/2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,5/16/2018,8/24/2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,5/16/2018,8/24/2018
BUSINESS SYSTEMS INTEGRATOR ,142000,MOUNTAIN VIEW CA,CA,2/7/2018,8/7/2018
BUSINESS SYSTEMS INTEGRATOR ,117000,SUNNYVALE CA,CA,2/22/2018,5/22/2018
CLOUD ENGINEERING PRODUCT MANAGER ,135000,MOUNTAIN VIEW CA,CA,8/31/2018,9/6/2018
CLOUD TECHNICAL ACCOUNT MANAGER ,155000,SUNNYVALE CA,CA,6/29/2018,7/6/2018
COMMODITY AND SUPPLY CHAIN ANALYST ,92000,MOUNTAIN VIEW CA,CA,2/9/2018,7/13/2018
COMMODITY MANUFACTURING MANAGER ,130000,MOUNTAIN VIEW CA,CA,8/7/2018,8/13/2018
COMMODITY/CONTRACT MANUFACTURING MANAGER ,125000,MOUNTAIN VIEW CA,CA,9/17/2018,10/15/2018
COMPENSATION TECHNICAL SOLUTIONS SPECIALIST ,155000,MOUNTAIN VIEW CA,CA,8/17/2018,2/1/2019
COMPUTER SYSTEMS ANALYST ,127000,SUNNYVALE CA,CA,2/13/2018,8/13/2018
COMPUTER SYSTEMS ANALYSTS ,99000,BOULDER CO,CO,2/21/2018,8/16/2018
CORPORATE COUNSEL ,258000,SAN BRUNO CA,CA,1/31/2018,7/24/2018
CORPORATE COUNSEL ,208000,SUNNYVALE CA,CA,5/3/2018,5/8/2018
CORPORATE COUNSEL ,165500,MOUNTAIN VIEW CA,CA,11/8/2018,11/13/2018
CORPORATE DEVELOPMENT ANALYST ,102000,SAN FRANCISCO CA,CA,2/7/2018,8/4/2018
CORPORATE DEVELOPMENT ANALYST ,110000,PALO ALTO CA,CA,7/2/2018,7/9/2018
CORPORATE OPERATIONS ENGINEER,83491,SEATTLE WA,WA,2/5/2018,8/1/2018
CREATIVE TECHNOLOGIST,130000,NEW YORK NY,NY,5/10/2018,5/14/2018
CUSTOMER ENGINEER ,106000,SUNNYVALE CA,CA,1/8/2018,1/12/2018
CUSTOMER ENGINEER ,120000,SUNNYVALE CA,CA,7/2/2018,7/9/2018
DATA ANALYST,107000,SUNNYVALE CA,CA,4/25/2018,10/1/2018
DATA CENTER ENVIRON HEALTH & SAFETY SPECIALIST ,54500,COUNCIL BLUFFS IA,IA,2/13/2018,8/13/2018
DATA INFRASTRUCTURE ENGINEER ,184000,MOUNTAIN VIEW CA,CA,9/6/2018,1/5/2019
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,1/29/2018,7/28/2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,2/5/2018,8/5/2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,3/5/2018,9/2/2018
DATA SCIENTIST ,175000,SAN BRUNO CA,CA,5/9/2018,6/11/2018
DATA SCIENTIST ,135000,NEW YORK NY,NY,7/3/2018,7/16/2018
DATA SCIENTIST ,150000,MOUNTAIN VIEW CA,CA,7/3/2018,7/16/2018
DATA SCIENTIST ,141000,MOUNTAIN VIEW CA,CA,10/9/2018,10/15/2018
DATA SCIENTIST ,158000,MOUNTAIN VIEW CA,CA,4/6/2018,8/18/2018
DATA SCIENTIST ,136370,MOUNTAIN VIEW CA,CA,2/6/2018,7/16/2018
DATA SCIENTIST ,131200,MOUNTAIN VIEW CA,CA,2/6/2018,7/16/2018
DATA SCIENTIST ,164000,MOUNTAIN VIEW CA,CA,1/31/2018,2/7/2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,2/5/2018,8/1/2018
DATA SCIENTIST ,187000,SUNNYVALE CA,CA,5/14/2018,9/6/2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,2/8/2018,8/9/2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,2/12/2018,8/9/2018
DATA SCIENTIST ,141000,NEW YORK CA,CA,5/23/2018,5/30/2018
DATA SCIENTIST ,141000,NEW YORK NY,NY,5/23/2018,5/30/2018
DATA SCIENTIST ,130000,MOUNTAIN VIEW CA,CA,4/6/2018,4/12/2018
DATA SCIENTIST ,164000,MOUNTAIN VIEW CA,CA,5/21/2018,5/21/2018
DATA SCIENTIST ,154000,MOUNTAIN VIEW CA,CA,11/16/2018,11/26/2018
DATA SCIENTIST ,157000,MOUNTAIN VIEW CA,CA,6/11/2018,10/1/2018
DATA SCIENTIST,138000,SUNNYVALE CA,CA,2/8/2018,8/6/2018
DATABASE ENGINEER ,141000,SUNNYVALE CA,CA,11/8/2018,4/29/2019
DATABASE ENGINEER ,127000,SUNNYVALE CA,CA,7/31/2018,8/2/2018
DATABASE ENGINEER ,127000,SUNNYVALE CA,CA,8/13/2018,8/14/2018
DATACENTER ENGINEER ,175000,SUNNYVALE CA,CA,5/1/2018,5/14/2018
DESIGN VERIFICATION ENGINEER ,112000,SUNNYVAL CA,CA,10/8/2018,10/15/2018
DEVELOPER ADVOCATE ,157000,NEW YORK NY,NY,2/5/2018,8/2/2018
DEVELOPER ADVOCATE ,135000,MOUNTAIN VIEW CA,CA,8/28/2018,12/17/2018
DEVELOPER ADVOCATE ,112000,NEW YORK NY,NY,6/12/2018,9/12/2018
DEVELOPER PROGRAM ENGINEER ,180000,SUNNYVALE CA,CA,11/8/2018,4/5/2019
DEVELOPER PROGRAMS ,94000,SEATTLE WA,WA,2/6/2018,8/5/2018
DEVELOPER PROGRAMS ENGINEER ,93500,SEATTLE WA,WA,2/2/2018,7/31/2018
DEVELOPER PROGRAMS ENGINEER ,103000,MOUNTAIN VIEW CA,CA,2/6/2018,8/6/2018
DEVELOPER PROGRAMS ENGINEER ,129000,MOUNTAIN VIEW CA,CA,2/1/2018,8/1/2018
DEVELOPER PROGRAMS ENGINEER ,93608,SEATTLE WA,WA,2/22/2018,8/22/2018
DEVELOPER PROGRAMS ENGINEER ,155000,CAMBRIDGE MA,MA,2/7/2018,8/6/2018
DEVELOPER PROGRAMS ENGINEER ,94000,SEATTLE WA,WA,3/12/2018,9/1/2018
DEVELOPER PROGRAMS ENGINEER ,187000,MOUNTAIN VIEW CA,CA,9/11/2018,9/18/2018
DIGITAL MARKETING ANALYST ,115000,MOUNTAIN VIEW CA,CA,7/13/2018,7/16/2018
DIRECTOR OF FOUNDRY X ,370000,MOUNTAIN VIEW CA,CA,2/2/2018,7/31/2018
DIRECTOR DESIGN & UX,310000,PALO ALTO CA,CA,11/14/2018,3/6/2019
DIRECTOR STAFFING AND CHANNELS ,324000,MOUNTAIN VIEW CA,CA,5/15/2018,5/15/2018
DOUBLECLICK PLATFORM SUPPORT SPECIALIST ,94000,MOUNTAIN VIEW CA,CA,2/6/2018,7/16/2018
EMC ENGINEER ,178000,MOUNTAIN VIEW CA,CA,9/4/2018,11/6/2018
EMT ENGINEER ,178000,MOUNTAIN VIEW CA,CA,8/16/2018,11/6/2018
ENFORCEMENT DETECTION ANALYST ,132000,SAN BRUNO CA,CA,6/7/2018,6/13/2018
ENGINEER ,92000,NEW YORK NY,NY,2/2/2018,7/31/2018
ENGINEER ,108000,MOUNTAIN VIEW CA,CA,6/11/2018,9/17/2018
ENGINEER ,108000,MOUNTAIN VIEW CA,CA,7/5/2018,9/17/2018
ENGINEER ,96000,MOUNTAIN VIEW CA,CA,1/18/2018,1/30/2018
ENGINEER ,108000,MOUNTAIN VIEW CA,CA,7/13/2018,7/20/2018
ENGINEER ,108000,MOUNTAIN VIEW CA,CA,6/1/2018,6/2/2018
ENGINEERING MANAGER ,201000,NEW YORK NY,NY,10/23/2018,2/10/2019
ENGINEERING MANAGER ,170000,SUNNYVALE CA,CA,4/11/2018,4/23/2018
ENGINEERING MANAGER ,210000,SUNNYVALE CA,CA,4/18/2018,4/23/2018
ENGINEERING MANAGER ,240000,MOUNTAIN VIEW CA,CA,5/7/2018,5/11/2018
ENGINEERING MANAGER ,290000,MOUNTAIN VIEW CA,CA,5/10/2018,5/16/2018
ENGINEERING MANAGER ,172000,CAMBRIDGE MA,MA,11/15/2018,11/20/2018
ENGINEERING MANAGER ,250000,SAN BRUNO CA,CA,1/10/2018,1/15/2018
ENGINEERING MANAGER SITE RELIABILITY ENGINEERING ,168000,NEW YORK NY,NY,1/23/2018,7/11/2018
ENGINEERING MANAGER SOFTWARE ENGINEER ,195000,SEATTLE WA,WA,5/15/2018,5/21/2018
ENGINEERING PRODUCT SPECIALIST,142000,MOUNTAIN VIEW CA,CA,4/4/2018,8/18/2018
ENGINEERING SYSTEMS ANALYST TECHNICAL INFRASTRUCTURE,142500,SUNNYVALE CA,CA,3/14/2018,3/21/2018
ENVIRONMENTAL SPECIALIST ,144000,SAN FRANCISCO CA,CA,5/23/2018,9/7/2018
ENVIRONMENTAL SPECIALIST ,144000,SUNNYVALE CA,CA,5/9/2018,9/7/2018
ENVIRONMENTAL SPECIALIST ,144000,SUNNYVALE CA,CA,4/11/2018,9/21/2018
FINANCE INTEGRATION MANAGER ,183000,SUNNYVALE CA,CA,7/18/2018,7/23/2018
FINANCE MANAGER ,170000,MOUNTAIN VIEW CA,CA,2/16/2018,8/13/2018
FINANCE MANAGER ,185000,MOUNTAIN VIEW CA,CA,7/19/2018,7/25/2018
FINANCE OPERATIONS ANALYST ,115500,SUNNYVALE CA,CA,2/7/2018,8/2/2018
FINANCE OPERATIONS ANALYST ,143000,SUNNYVALE CA,CA,2/23/2018,8/19/2018
FINANCE OPERATIONS ANALYST ,115500,SUNNYVALE CA,CA,8/21/2018,11/6/2018
FINANCE OPERATIONS ANALYST ,144000,MOUNTAIN VIEW CA,CA,1/31/2018,3/4/2018
FINANCE OPERATIONS ANALYST ,144000,SUNNYVALE CA,CA,5/22/2018,6/20/2018
FINANCIAL ANALYST,93000,MOUNTAIN VIEW CA,CA,2/27/2018,8/25/2018
FINANCIAL ANALYST ,122000,SAN FRANCISCO CA,CA,4/9/2018,10/4/2018
FINANCIAL ANALYST ,111000,MOUNTAIN VIEW CA,CA,5/8/2018,10/1/2018
FINANCIAL ANALYST ,132000,SUNNYVALE CA,CA,9/27/2018,2/22/2019
FINANCIAL ANALYST ,144000,SUNNYVALE CA,CA,7/3/2018,9/1/2018
FINANCIAL ANALYST ,121000,SUNNYVALE CA,CA,5/8/2018,7/26/2018
FINANCIAL ANALYST ,92000,SUNNYVALE CA,CA,2/5/2018,2/5/2018
FINANCIAL ANALYST ,150000,MOUNTAIN VIEW CA,CA,1/23/2018,1/30/2018
FINANCIAL ANALYST ,142000,SUNNYVALE CA,CA,5/9/2018,5/28/2018
FINANCIAL ANALYST ,112000,NEW YORK NY,NY,9/18/2018,3/9/2019
FINANCIAL ANALYST STOCK ADMINISTRATOR ,134000,SUNNYVALE CA,CA,4/9/2018,9/30/2018
FINANCIAL ANALYST ,119000,AUSTIN TX,TX,2/14/2018,8/13/2018
FINANCIAL ANALYST ,113000,SAN BRUNO CA,CA,6/28/2018,12/28/2018
