Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
QUALITY ENGINEER - UI TOOLS,100000,PLEASANTON CA,CA,10/23/2014,10,2014,11/03/2014,11,2014
RECRUITING PRODUCT MANAGER,135637,PLEASANTON CA,CA,02/25/2015,02,2015,08/25/2015,08,2015
SALES & MARKETING BUSINESS INTELLIGENCE PRODUCT MANAGER,88629,PLEASANTON CA,CA,05/05/2017,05,2017,06/05/2017,06,2017
SALESFORCE ADMINISTRATOR,119600,PLEASANTON CA,CA,05/16/2018,05,2018,05/23/2018,05,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,04/03/2018,04,2018,04/10/2018,04,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,12/04/2017,12,2017,05/21/2018,05,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,08/02/2017,08,2017,09/11/2017,09,2017
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,09/21/2017,09,2017,10/16/2017,10,2017
SALESFORCE DEVELOPER,122757,PLEASANTON CA,CA,11/17/2015,11,2015,03/12/2016,03,2016
SALESFORCE DEVELOPER,125000,PLEASANTON CA,CA,05/13/2015,05,2015,05/21/2015,05,2015
SECURITY ENGINEER,114837,PLEASANTON CA,CA,01/31/2018,01,2018,08/01/2018,08,2018
SECURITY ENGINEER,114837,PLEASANTON CA,CA,02/14/2018,02,2018,07/20/2018,07,2018
SECURITY ENGINEER,115000,PLEASANTON CA,CA,07/06/2015,07,2015,07/20/2015,07,2015
SECURITY ENGINEER,115898,PLEASANTON CA,CA,03/13/2017,03,2017,03/27/2017,03,2017
SECURITY OPERATIONS ANALYST,100000,PLEASANTON CA,CA,01/21/2016,01,2016,02/01/2016,02,2016
SEGMENT LEADER TECHNOLOGY,169458,PLEASANTON CA,CA,03/10/2015,03,2015,09/03/2015,09,2015
SENIOR APPLICATION DEVELOPER,125000,PLEASANTON CA,CA,02/05/2014,02,2014,02/21/2014,02,2014
SENIOR ASSOCIATE DATA SCIENTIST,110000,PLEASANTON CA,CA,03/17/2016,03,2016,09/06/2016,09,2016
SENIOR ASSOCIATE PRODUCT ENGINEER,115000,PLEASANTON CA,CA,03/25/2015,03,2015,03/31/2015,03,2015
SENIOR ASSOCIATE PRODUCT MANAGER,81598,PLEASANTON CA,CA,09/15/2017,09,2017,03/16/2018,03,2018
SENIOR ASSOCIATE PRODUCT MANAGER,97600,PLEASANTON CA,CA,02/18/2016,02,2016,03/02/2016,03,2016
SENIOR ASSOCIATE PRODUCT MANAGER,107432,PLEASANTON CA,CA,11/06/2017,11,2017,03/31/2018,03,2018
SENIOR ASSOCIATE PRODUCT MANAGER - CASH & PAYMENTS,100000,PLEASANTON CA,CA,03/13/2015,03,2015,03/23/2015,03,2015
SENIOR ASSOCIATE SECURITY ENGINEER,95000,PLEASANTON CA,CA,03/17/2016,03,2016,09/06/2016,09,2016
